No,Title,Writer,Date,Status
14704,정보가 잘못나온것으로 보입니다.,이***,2017-06-09,완료
14788,[재문의] 오픈 API에서 응답중에 필드 한가지가 안나오네요.,박***,2017-06-19,완료
14816,공동주택 입찰결과공지 제공 서비스 OPENAPI 문의사항입니다.,최***,2017-06-21,완료
14817,게시글이 삭제되었습니다.,김***,2017-06-21,완료
14814,활용사례,정***,2017-06-21,완료
14815,오픈API 활용승인 소요 시간,정***,2017-06-21,완료
14813,공공 데이터 활용 신청 문의,이***,2017-06-20,완료
14807,제가 신청하지 않은 서버 인증키 여러건 같이 보이는데요,박***,2017-06-20,완료
14804,"쇠고기, 돼지이력조회시 에러메세지가 나타납니다.",나*****,2017-06-20,완료
14802,"심의기간, 응답코드 500 문의",유***,2017-06-20,완료
14800,api 응답오류,홍***,2017-06-20,완료
14809,OpenAPI 자동화 툴 과련건,최***,2017-06-20,완료
14805,오픈 api - 병원정보서비스[건강정보심사평가원] 병원주소 오류,김***,2017-06-20,완료
14793,아파트매매 실거래자료 API에서 아파트 코드 관련,장***,2017-06-19,완료
14797,음양력 정보제공 서비스의 구현에 관련된 문의 드립니다.,김***,2017-06-19,완료
14801,코드 문의 관련,김***,2017-06-20,완료
14796,SERVICE KEY IS NOT REGISTERED ERROR.,조***,2017-06-19,완료
14795,기구별 공석정보 관련 문의드립니다.,김***,2017-06-19,완료
14790,XML 파싱에러 문의,유***,2017-06-19,완료
14785,SERVICE ACCESS DENIED ERROR.,김***,2017-06-19,완료
14784,오픈 API에서 응답중에 필드 한가지가 안나오네요.,박***,2017-06-19,완료
14782,SERVICE KEY IS NOT REGISTERED ERROR,홍***,2017-06-19,완료
14779,API 키 오류,김***,2017-06-18,완료
14777,API 오류사항,김***,2017-06-16,완료
14776,대기오염정보API,전***,2017-06-16,완료
14735,서비스키 문제..,이***,2017-06-13,완료
14775,대기오염정보 조회 서비스,구***,2017-06-16,완료
14774,api 관련 접속에러 문의입니다.,김***,2017-06-15,완료
14773,JAVA 환경 건축물대장 api 사용시 ERROR,이***,2017-06-15,완료
14581,병원API,박***,2017-05-30,완료
14768,SERVICE KEY IS NOT REGISTERED ERROR,s******,2017-06-15,완료
14767,OPEN API 처리 상태 관련,신***,2017-06-15,완료
14761,SERVICE KEY IS NOT REGISTERED ERROR,김***,2017-06-14,완료
14755,트래픽 증설 요청,김***,2017-06-14,완료
14760,SERVICE KEY IS NOT REGISTERED ERROR.,유***,2017-06-14,완료
14740,라이브러리 및 다운받은 데이터가 공개가 가능하나요?,지***,2017-06-14,완료
14750,30 SERVICE KEY IS NOT REGISTERED ERROR.,오*****,2017-06-14,완료
14728,나라장터 계약정보서비스 문의,박***,2017-06-12,완료
14739,URL,구***,2017-06-13,완료
14733,SERVICE KEY IS NOT REGISTERED ERROR.,홍***,2017-06-13,완료
14726,부산주차장 목록 조회,이***,2017-06-12,완료
14732,초당 요청 갯수 제한 문의 드립니다.,이***,2017-06-13,완료
14731,<DATA 포탈 > 자료활용 문의,조***,2017-06-12,완료
14727,오픈 api 서비스 요청이 안 되는 것 같습니다.,신***,2017-06-12,완료
14725,SERVICE_KEY_IS_NOT_REGISTERED_ERROR,이***,2017-06-12,완료
14701,자료 데이터들의 의미를 알고 싶어요,안***,2017-06-09,완료
14723,공공데이터 포털 목록 수정일이 왜 다르게 나오는지요?,유***,2017-06-12,완료
14722,중기예보정보조회서비스 문의드립니다,이***,2017-06-11,완료
14710,왜 그러는 걸까요 공지도 없고 주말만 되면 API가 안되네요?,김***,2017-06-10,완료
14724,우리나라에서 과거 서머타임 실시 정보,차***,2017-06-12,완료
14711,바다물때 질문,임***,2017-06-10,완료
14714,한국한경공단 openAPI 일일트래픽,최***,2017-06-10,완료
14712,오픈 API 신청 취소,안***,2017-06-10,완료
14706,URL,구***,2017-06-09,완료
14719,인증키 사용이 안돼요.,황***,2017-06-11,완료
14709,에어코리아 10시 부터 응답안하네요,강***,2017-06-10,완료
14708,정보가 나오지 않습니다.,황***,2017-06-09,완료
14707,정보가 나오지 않습니다.,황***,2017-06-09,완료
14720,국민연금 가입 사업장 정보 조회 세션부족.,유***,2017-06-11,완료
14705,우편번호 정보 검색 오류 확인 부탁드립니다.,최***,2017-06-09,완료
14703,데이터 제공에 관해 문의드립니다.,권**,2017-06-09,완료
14702,정상적으로 되던 api가 오늘부터 갑자기 오류 발생,강***,2017-06-09,완료
14698,개별공시지가 관련 문의사항,윤***,2017-06-08,완료
14699,데이터 다운로드,정***,2017-06-08,완료
14696,"교통신호등, 횡단보도",장***,2017-06-08,완료
14695,SERVICE KEY IS NOT REGISTERED ERROR,김***,2017-06-08,완료
14694,[오픈 API 활용 문의] 병원정보 서비스,정***,2017-06-08,완료
14679,날씨 데이터가 없습니다.,임***,2017-06-07,완료
14691,공공데이터 제공 (갱신) 관련 문의,박***,2017-06-08,완료
14684,공공데이터 반려건,장***,2017-06-08,완료
14680,생활기상지수 보건기상지수,구***,2017-06-07,완료
14681,활용계정신청,성***,2017-06-08,완료
14678,일일 트래픽 관련 문의,김***,2017-06-07,완료
14677,API Key 여전히 안됩니다.,김***,2017-06-07,완료
14675,데이터 다운로드,정***,2017-06-07,완료
14676,버스위치정보조회 서비스 관련 문의드립니다,이***,2017-06-07,완료
14674,"국군병원별 의뢰된 정밀신체검사 판정결과 ""귀가 대상 판정률(%)""현황(최근 5년) 등 총 7건",최***,2017-06-07,완료
14673,지역별 환자수 문의,김***,2017-06-07,완료
14667,(신)동네예보정보조회서비스 - 초단기실황조회 관련 문의드립니다.,이***,2017-06-07,완료
14666,신체검사때 2등급 받았지만 부사관 신체검사때 무릎에 있는 병으로 인해 못갈수도 있나여?,최***,2017-06-07,완료
14665,OPEN API 과거 자료 열람과 관련하여 문의드립니다.,이***,2017-06-07,완료
14664,(신)동네예보정보조회서비스 관련 문의드립니다.,이***,2017-06-07,완료
14656,보건기상지수,구***,2017-06-06,완료
14660,버스위치정보조회서비스 API 관련 문의드립니다,이***,2017-06-06,완료
14659,중기예보정보조회 관련해서 문의드립니다!,이***,2017-06-06,완료
14655,생활기상지수조회,구***,2017-06-06,완료
14644,부산버스정보시스템,장***,2017-06-04,완료
14650,IROS_11_독성정보 서비스 API 문의,이***,2017-06-05,완료
14651,(신)동네예보정보조회서비스 에러관련사항,배***,2017-06-05,완료
14641,api key 언제 열리나요,김***,2017-06-03,완료
14648,(신)동네예보정보조회서비스 파라미터 에러입니다.,오***,2017-06-05,완료
14612,대기오염정보 오픈api 관련,임***,2017-06-01,완료
14636,서비스키 에러가 자꾸 납니다.,김***,2017-06-03,완료
14647,(신)동네예보정보조회서비스 관련 문의 드립니다.,이***,2017-06-05,완료
14645,API호출관련,배***,2017-06-05,완료
14637,API 서비스에러,김***,2017-06-03,완료
14633,사전정보 공표목록,김***,2017-06-02,완료
14638,병역신청 질문입니다,이***,2017-06-03,완료
14640,보건기상지수,구***,2017-06-03,완료
14628,에어코리아 API 갱신 문제,강***,2017-06-02,완료
14620,서비스키,정***,2017-06-01,완료
14625,대기오염정보 API 출력관련,박***,2017-06-02,완료
14622,api요청 후 응답없음,김***,2017-06-01,완료
14619,등록되지 않은 IP 오류,유***,2017-06-01,완료
14618,자꾸 서비스키 에러가 납니다,연***,2017-06-01,완료
14616,중기육상예보조회가 안됩니다.,송***,2017-06-01,완료
14613,SERVICE KEY IS NOT REGISTERED ERROR 관련 질문,류***,2017-06-01,완료
14598,의료기간별 상세정보 서비스시 에러발생,고***,2017-05-31,완료
14608,[공공데이터 제공신청] 공공기관에 한국환경공단 없음,김***,2017-05-31,완료
14609,데이터 요청 URL 동작여부확인 문의 드립니다.,조***,2017-05-31,완료
14605,한국광물자원공사 url,송***,2017-05-31,완료
14607,작동여부 확인 요합니다.,조***,2017-05-31,완료
14603,SERVICE ACCESS DENIED ERROR,송***,2017-05-31,완료
14574,부산 특정노선 특정 정류소 도착정보 조회,김***,2017-05-29,완료
14591,표준특허 사용 문의,황***,2017-05-30,완료
14593,의료기간별 상세정보 서비스시 에러발생,고***,2017-05-30,완료
14586,서비스키 에러,박***,2017-05-30,완료
14595,API 사용 방법에 대하여..,안***,2017-05-30,완료
14594,공연전시정보조회서비스 사용시 명세와 출력값이 다르게 나옵니다.,이***,2017-05-30,완료
14484,여행경보제도 데이타가 나오지 않고 있습니다. 속도도 무척 느립니다.,전***,2017-05-19,완료
13875,현지 연락처 관련해서 질문드립니다.,김***,2017-03-20,완료
14589,"건축물미술품 DB, 유독물 GHS정보 서비스키에러납니다",조***,2017-05-30,완료
14590,의료기간별 상세정보 서비스시 에러발생,고***,2017-05-30,완료
14585,api신청하려고하는데 자꾸 서비스키 에러가뜹니다,조***,2017-05-30,완료
14584,SERVICE ACCESS DENIED ERROR.,공***,2017-05-30,완료
14588,이뮤지엄 소장품 조회서비스 url에 문제가있습니다,조***,2017-05-30,완료
14580,Key인증실패: SERVICE KEY IS NOT REGISTERED ERROR.[인증모듈 에러코드(30)],김***,2017-05-30,완료
14497,관세청 api문의,정***,2017-05-22,완료
14577,운영계정 신청시 처리시간이 얼마나 걸리나요?,황***,2017-05-30,완료
14576,SERVICE ACCESS DENIED ERROR.,공***,2017-05-30,완료
14575,대기오염정보 조회 서비스 URL 오류,황***,2017-05-30,완료
14573,환경공단API 중 하나가 예제처럼 실행되지 않네요,강***,2017-05-29,완료
14568,산업통상자원부 수출예정정보 통계 error,정***,2017-05-29,완료
14572,NO OPENAPI SERVICE ERROR,구***,2017-05-29,완료
14569,건축물대장 건물주 생년월일 api 연동,정***,2017-05-29,완료
14571,개발계정 트래픽 문의,전***,2017-05-29,완료
14570,시도별 실시간 측정정보 조회 오퍼레이션 결과값을 xml에서 json으로 만들려고 합니다.,성***,2017-05-29,완료
14566,건물에너지정보 서비스 api 에러 문의,정***,2017-05-29,완료
14559,공공데이터포털목록조회서비스 관련 문의 드립니다.,스******,2017-05-26,완료
14563,열차정보서비스 API Service key 관련 문의,용***,2017-05-26,완료
14562,미세먼지 정보 문의,김***,2017-05-26,완료
14561,서비스키 인증관련,신***,2017-05-26,완료
14560,API 데이터 조회관련..,신***,2017-05-26,완료
14556,공공데이터 제공 신청 처리 문의,현***,2017-05-26,완료
14557,생성된 서비스 키값에 대한 문의,강***,2017-05-26,완료
14555,찾고자하는 데이터가 없는데 요청할 수도 있나요?,김***,2017-05-26,완료
14553,open API 데이터 조회가 안됩니다..,신***,2017-05-25,완료
14551,Service Temporarily Unavailable 오류가 발생합니다..,주***,2017-05-25,완료
14550,건축물대장 API,조***,2017-05-25,완료
14549,오픈 API 정보가 이상합니다.,주***,2017-05-25,완료
14548,SERVICE KEY IS NOT REGISTERED ERROR,노***,2017-05-25,완료
14547,서비스키,김***,2017-05-25,완료
14545,(신)동네예보정보조회서비스  관련 문의드립니다.,이***,2017-05-25,완료
14544,SERVICEKEY 관련,신***,2017-05-25,완료
14542,공인IP변경,성***,2017-05-25,완료
14415,학교 및 학구도 공공데이터 표준 문의입니다.,김***,2017-05-24,완료
14540,SERVICE_KEY_IS_NOT_REGISTERED_ERROR 오류,정***,2017-05-25,완료
14539,"신규 동네예보정보조회 서비스에서 도서지역(울등도, 백령도 등) 정보를 알려면",이***,2017-05-25,완료
14534,병원위치정보 관련,박***,2017-05-24,완료
14535,NO OPENAPI SERVICE ERROR,구***,2017-05-24,완료
14537,데이터 신청 승인기간,임***,2017-05-24,완료
14538,SERVICE_KEY_IS_NOT_REGISTERED_ERROR 발생,성***,2017-05-24,완료
14523,문의,박***,2017-05-24,완료
14532,시도별 실시간 평균정보 조회 오류관련,이***,2017-05-24,완료
14531,시도별 실시간 평균정보 조회 api 오류관련 문의드립니다.,이***,2017-05-24,완료
14530,SERVICE KEY IS NOT REGISTERED 에러,이***,2017-05-24,완료
14528,api 신청관련,송***,2017-05-24,완료
14526,NO OPENAPI SERVICE ERROR,구***,2017-05-24,완료
14524,도착정보조회서비스 정류소ID,이***,2017-05-24,완료
14517,지하철정보 서비스 Open API 사용 오류,전***,2017-05-23,완료
14522,SERVICE ACCESS DENIED ERROR.,이***,2017-05-24,완료
14518,UNREGISTERED IP ERROR.,현***,2017-05-23,완료
14515,대기오염 정보 조회 (3) 시도별 실시간 측정정보 관련 문의 입니다.,성***,2017-05-23,완료
14513,일반 인증키 재발급,한***,2017-05-23,완료
14511,api 사용 오류,추***,2017-05-23,완료
14486,[기초학문자료센터-연구성과물검색서비스] 미리보기 오류,유***,2017-05-19,완료
14510,나이스 급식디비,임***,2017-05-22,완료
14509,군 지원 산업기능요원,김***,2017-05-22,완료
14502,서울버스 api 에러관련,박***,2017-05-22,완료
14507,등록되지 않은 키 문의,유***,2017-05-22,완료
14503,공유(만료)저작물 서비스,유***,2017-05-22,완료
14506,동네예보정보조회서비스 문의드립니다.,박***,2017-05-22,완료
14505,미세먼지 서비스키 에러 입니다.,신***,2017-05-22,완료
14498,SERVICE KEY IS NOT REGISTERED ERROR 나옵니다.,조***,2017-05-22,완료
14500,활용신청 문의 드립니다.,박***,2017-05-22,완료
14495,headerCd가 4로 나와요,황***,2017-05-21,완료
14470,국세청 상업용건물/오피스텔 기준시가 관련 질문입니다,이***,2017-05-18,완료
14483,건강보험심사평가원 키 중복 확인 요청,최***,2017-05-19,완료
14492,SERVICE KEY IS NOT REGISTERED ERROR.,이***,2017-05-20,완료
14490,SERVICE KEY IS NOT REGISTERED ERROR,임***,2017-05-20,완료
14488,미세먼지 SERVICE KEY IS NOT REGISTERED ERROR. 인증키,박***,2017-05-19,완료
14487,서울버스 도착정보 api 에러관련,박***,2017-05-19,완료
14482,상가(상권)정보 데이터 문의,정***,2017-05-19,완료
14481,SERVICE ACCESS DENIED ERROR.,공***,2017-05-19,완료
14480,OpenAPI 제시된 항목에 변화가 생기면 어떻게 공지하시나요?,박***,2017-05-19,완료
14478,공중화장실 표준데이터를 사용하려합니다.,이***,2017-05-19,완료
14476,SERVICE KEY IS NOT REGISTERED ERROR.,공***,2017-05-19,완료
14477,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR 에러가 발생합니다.,강***,2017-05-19,완료
14475,서울버스 도착정보 api 에러관련,박***,2017-05-19,완료
14474,SERVICE KEY IS NOT REGISTERED ERROR,이***,2017-05-18,완료
14471,국회의원 정보제공 서비스  오류 문의,임***,2017-05-18,완료
14472,정보공개 내용 확인방법,김***,2017-05-18,완료
14461,버스도착정보 Error,박***,2017-05-18,완료
14460,openapi.cha.go.kr/openapi/soap/crlts/KndCrltsService?wsdl -> SERVICE KEY IS NOT REGISTERED ERROR 문의 입니다.,e*****,2017-05-18,완료
14448,도착정보조회서비스 대구버스 관련,서***,2017-05-17,완료
14468,국회의원 정보제공 서비스에서 과거 기록을 얻는 방법은 없나요?,임***,2017-05-18,완료
14466,건강보험심사평가원 API 오류,최***,2017-05-18,완료
14458,500에러 확인 부탁 드립니다.,박***,2017-05-18,완료
14459,"org.jsoup.HttpStatusException: HTTP error fetching URL. Status=500,",서***,2017-05-18,완료
14453,데이터 호출불가,이***,2017-05-17,완료
14464,Software caused connection abort: recv failed,박***,2017-05-18,완료
14451,오류 확인 요청 드립니다.,위*****,2017-05-17,완료
14452,정체를 알수 없는 이상한 오류가 뜨면서 안되네요.,이***,2017-05-17,완료
14462,중앙부처 복지서비스 인증키 없습니다 오류가 있어서 문의드립니다,송***,2017-05-18,완료
14454,SERVICE KEY IS NOT REGISTERED ERROR. 문의 입니다.,e*****,2017-05-18,완료
14455,SERVICE ACCESS DENIED ERROR.,박***,2017-05-18,완료
14449,SERVICE KEY IS NOT REGISTERED ERROR.,이***,2017-05-17,완료
14442,ORA-28001: the password has expired 오류가 뜹니다.,임***,2017-05-17,완료
14445,버스정류소정보조회서비스 api SERVICE ACCESS DENIED ERROR.,서***,2017-05-17,완료
14443,운영계정 신청 관련 내용 문의 드립니다.,박***,2017-05-17,완료
14416,관세청 데이터 오류 관련 재질의,정***,2017-05-15,완료
14440,"개별주택,공동주택, 개별공시지가정보서비스 에러 문의",문***,2017-05-17,완료
14436,병원정보서비스 API 관련,노***,2017-05-17,완료
14435,SERVICE KEY IS NOT REGISTERED ERROR.,소***,2017-05-16,완료
14437,오픈API 확인부탁드립니다.,여***,2017-05-17,완료
14433,인증키가 뜨지 않아요.,황***,2017-05-16,완료
14432,SERVICE ACCESS DENIED ERROR 발생합니다.,권***,2017-05-16,완료
14431,SERVICE ACCESS DENIED ERROR,김***,2017-05-16,완료
14430,SERVICE_KEY_IS_NOT_REGISTERED_ERROR 가 발생합니다.2,삼******,2017-05-16,완료
14427,출/도착지기반열차정보에서 검색되는 KTX 요금 관련 문의 입니다.,박***,2017-05-16,완료
14429,SERVICE_KEY_IS_NOT_REGISTERED_ERROR 가 발생합니다.,삼******,2017-05-16,완료
14428,SERVICE KEY IS NOT REGISTERED ERROR 납니다.,권***,2017-05-16,완료
14425,데이터 트레픽 초과 발생 시 관련.,류***,2017-05-16,완료
14423,SERVICE KEY IS NOT REGISTERED ERROR 이 떨어집니다.,박***,2017-05-16,완료
14422,UNREGISTERED_IP_ERROR,위*****,2017-05-16,완료
14420,SERVICE_KEY_IS_NOT_REGISTERED_ERROR,위*****,2017-05-16,완료
14405,요청메시지 추가 관련 질문합니다.,한***,2017-05-12,완료
14419,버스정류소정보를 정류소 번호로 조회 하고 싶습니다.,강***,2017-05-15,완료
14418,99 SERVICE ACCESS DENIED ERROR. 문의 입니다.,강***,2017-05-15,완료
14414,관리자 권한 및 API제공 방법,장***,2017-05-15,완료
14411,작업에 따른 공지사항 등록 요청드립니다.,양***,2017-05-15,완료
14410,open-api를 제공할려면 어떻게 해야하나요?,박***,2017-05-15,완료
14409,제주api정보,이***,2017-05-14,완료
14407,99SERVICE KEY IS NOT REGISTERED ERROR. 에러가 발생합니다.,강***,2017-05-13,완료
14404,건축물대장api 조회시 returnAuthMsg HTTP_ERROR,김***,2017-05-12,완료
14401,버스정류소조회 api,김***,2017-05-12,완료
14368,휴게소 편의시설 현황,유***,2017-05-09,완료
14399,SERVICE ACCESS DENIED ERROR,김***,2017-05-12,완료
14398,트래픽 초기화 시점 문의,김***,2017-05-12,완료
14385,SERVICE KEY IS NOT REGISTERED ERROR,유***,2017-05-10,완료
14397,첨부파일이 없습니다,이***,2017-05-12,완료
14396,국민행동요령 인증키,박***,2017-05-12,완료
14389,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR 에러 관련,유***,2017-05-11,완료
14391,자외선 지수 SERVICE ACCESS DENIED ERROR,줌****,2017-05-11,완료
14392,버스정류소정보조회서비스 api,김***,2017-05-11,완료
14390,버스 노선 조회 서비스,이***,2017-05-11,완료
14387,미세먼지 측정값에 대하여,이***,2017-05-10,완료
14388,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR,유***,2017-05-11,완료
14383,관세청 기술문서 오류 관련,정***,2017-05-10,완료
14382,인증키 미등록 오류,강***,2017-05-10,완료
14379,관리자 승인 요청,조***,2017-05-10,완료
14380,농촌용수 저수지 API 문의,김***,2017-05-10,완료
14376,관세청 api 문의,정***,2017-05-10,완료
14377,[재문의]SERVICE KEY IS NOT REGISTERED ERROR,윤***,2017-05-10,완료
14374,SERVICE KEY IS NOT REGISTERED ERROR,윤***,2017-05-10,완료
14373,SERVICE ACCESS DENIED ERROR,임***,2017-05-10,완료
14372,SERVICE KEY IS NOT REGISTERED ERROR 에러발생,정***,2017-05-09,완료
14369,국민행동요령(민방위문제),유***,2017-05-09,완료
14367,등록되지 않은 서비스키 오류,황***,2017-05-08,완료
14366,일반 인증키(UTF-8)가 발급되지 않네요..,김***,2017-05-08,완료
14360,트래픽 증가에 따른 일일 API 힌도 증설 요청,이***,2017-05-07,완료
14355,부산시내버스 서비스 키 동기화가 완료되었는지 알 수 있을까요?,김***,2017-05-04,완료
14356,대전광역시 운영계정 신청이 안되고 있습니다.,홍***,2017-05-05,완료
14358,전통시장 현황 표준데이터 오류 문의드립니다.,김***,2017-05-05,완료
14357,동네예보 SERVICE KEY IS NOT REGISTERED ERROR.,민***,2017-05-05,완료
14361,인증키 에러 & JSON 응답,고***,2017-05-07,완료
14362,인증키 발급 에러,문***,2017-05-07,완료
14350,정류소 조회 서비스 API 이용시 일부 정류소 오류,유***,2017-05-03,완료
14352,정량표시상품 점검 관련 자료 요청,이***,2017-05-04,완료
14349,미세먼지 조회가 안됩니다.,김***,2017-05-03,완료
14347,생활기상 api,오***,2017-05-02,완료
14346,일일트래픽문의드립니다.,윤***,2017-05-02,완료
14336,병원 데이터 조회 문의,박***,2017-05-01,완료
14341,개발계정 만료일이 끝나면 어떻게???,손***,2017-05-02,완료
14339,수고가 많으십니다,전***,2017-05-02,완료
14340,ACCESS DENIED는 무슨 문제인가요,손***,2017-05-02,완료
14337,안녕하십니까 ?,전***,2017-05-02,완료
14335,실데이터..,정***,2017-05-01,완료
14334,키 등록이 안됩니다.,손***,2017-05-01,완료
14324,동네예보정보조회 api 관련..,노***,2017-04-30,완료
14329,트래픽 증설 요청,김***,2017-04-30,완료
14330,api페이지 접속이 안됩니다.,정***,2017-05-01,완료
14327,apis.data.go.kr 접속이 안됩니다.,트******,2017-04-30,완료
14326,오픈api 이페이지를 표시할 수 없습니다라고 뜹니다,이***,2017-04-30,완료
14331,데이터 이용,정***,2017-05-01,완료
14328,데이터 정보 확인,정***,2017-04-30,완료
14323,출입국관광통계 API 사용화면 에러 수정요청의 件,신***,2017-04-28,완료
14322,동네예보정보 조회 서비스 동작이 정상적이지 않습니다.,신***,2017-04-28,완료
14321,상권 데이터 오류 문의,탁***,2017-04-28,완료
14300,병원 이미지 관련,박***,2017-04-27,완료
14320,데이터 등록요청 및 심의진행관련 문의드립니다.,나***,2017-04-28,완료
14316,기관별 공공데이터 제공 현황,강***,2017-04-28,완료
14314,open api 관련 문의,김***,2017-04-28,완료
14318,문의드립니다. 서비스키관련,권***,2017-04-28,완료
14315,부산버스정보시스템 변경건.,장***,2017-04-28,완료
14313,api문의,이***,2017-04-28,완료
14308,여객편 운항 서비스 에러,황***,2017-04-27,완료
14310,부산 시내버스 API 오류 (재문의),홍***,2017-04-28,완료
14306,여객편 운항현황 에러,황***,2017-04-27,완료
14305,공공데이터 자료요청 관련 파일 미첨부,조***,2017-04-27,완료
14304,서비스 키 에러,박***,2017-04-27,완료
14302,국회도서관 OPENAPI 검색 문의,이***,2017-04-27,완료
14303,[재질문] SERVICE ACCESS DENIED ERROR,임***,2017-04-27,완료
14295,공공데이터 신청 취소,손***,2017-04-26,완료
14256,몇가지 문의드립니다.,이***,2017-04-22,완료
14301,api문의,이***,2017-04-27,완료
14297,부산시 시내버스 서버 변경 API 오류,홍***,2017-04-26,완료
14299,SERVICE ACCESS DENIED ERROR,임***,2017-04-27,완료
14294,공공데이터 제공신청,강***,2017-04-26,완료
14293,부산 시내버스 api 에러관련 문의,신***,2017-04-26,완료
14290,대기오염정보 조회 서비스 문의,윤***,2017-04-26,완료
14291,전국 응급의료정보 서비스,황***,2017-04-26,완료
14289,버스 api 정보 관련.,류***,2017-04-26,완료
14283,Open API 활용현황 관련해서...,신***,2017-04-25,완료
14286,SERVICE ACCESS DENIED ERROR.,이***,2017-04-26,완료
14281,키 인증 오류.,류***,2017-04-25,완료
14282,URL 키 인증오류로 인하여 문의 드립니다.,동***,2017-04-25,완료
14272,실시간경락정보 api 오류문의 입니다.,박***,2017-04-25,완료
14276,트래픽 한도 증설 요청,이***,2017-04-25,완료
14273,나라장터 입찰공고 조회 문의드립니다.,김***,2017-04-25,완료
14253,국내항공운항정보 서비스 문의 드립니다.,강***,2017-04-24,완료
14269,SERVICE ACCESS DENIED ERROR. 오류,이***,2017-04-24,완료
14268,API 키 발급 문의,서****,2017-04-24,완료
14267,건축물대장 서비스 오류,한***,2017-04-24,완료
14261,국토교통부 api 오류 문의,김***,2017-04-24,완료
14249,국내항공운항정보 서비스 - 오퍼레이션 - 운임 컬럼(economyCharge) 누락,우***,2017-04-21,완료
14251,[질문] 병원정보 API 이용시 요양기관 기호 복호화 관련 문의 드립니다.,정***,2017-04-21,완료
14260,api 활용 신청 문의,박***,2017-04-23,완료
14255,신청한 api 키 확인 방법,김**,2017-04-22,완료
14248,한국공항공사_항공기운항정보API 관련 질문 입니다.,이***,2017-04-21,완료
14232,국내 항공운항 정보 문의드립니다.,강***,2017-04-19,완료
14246,기관계정 관련해서 문의드립니다,안***,2017-04-21,완료
14247,SERVICE_KEY_IS_NOT_REGISTERED_ERROR,정***,2017-04-21,완료
14244,트래픽 증설 요청,김***,2017-04-21,완료
14229,2017년 1월 13일 이후로 자료가 검색되지 않습니다.,박***,2017-04-19,완료
14238,공공취업정보 조회 서비스 에러문제,정**,2017-04-20,완료
14239,신)동네예보정보조회서비스  api 문의,곽***,2017-04-20,완료
14237,나라장터 입찰공고정보서비스  이용문의...,김***,2017-04-19,완료
14235,국내 항공 운항정보 문의,안***,2017-04-19,완료
14234,건축물대장정보 서비스 API 문의드립니다.,최***,2017-04-19,완료
14233,건축물대장정보 서비스 API 문의드립니다.,최***,2017-04-19,완료
14231,학교급식 정보 제공,정***,2017-04-19,완료
14227,국내 항공운항정보 질문드립니다.,강***,2017-04-18,완료
14228,UNREGISTERED IP ERROR,박***,2017-04-19,완료
14225,서비스 제공범위,김***,2017-04-18,완료
14224,서비스 키 에러,김***,2017-04-18,완료
14223,버스정류장조회서비스 API 질문입니다.,이***,2017-04-18,완료
14222,서울시 구간 인구이동 자료관련 문의,이***,2017-04-18,완료
14216,항공기 운항정보 api 문의 드립니다.,강***,2017-04-17,완료
14220,지난번 문의내역이 처리가 되지 않아 재문의 합니다.,권***,2017-04-18,완료
14215,TM 좌표 문의,이***,2017-04-17,완료
14218,error,조***,2017-04-18,완료
14211,표준데이터 등록관련,윤***,2017-04-17,완료
14214,"경도,위도로 TM 좌표 측정방식 구하는 방법이 있을까요?",이***,2017-04-17,완료
14210,SERVICE KEY IS NOT REGISTERED ERROR,엄***,2017-04-17,완료
14208,버스 관련 기반정보 조회 문의,최***,2017-04-17,완료
14213,SERVICE KEY IS NOT REGISTERED ERROR,최***,2017-04-17,완료
14168,전국장애인편의시설정보조회 API 문의,박***,2017-04-12,완료
14205,공동주택관리비(개별사용료)정보제공서비스 운영계정 신청 문의입니다.,김***,2017-04-17,완료
14204,등록되지 않은 서비스키입니다.,장***,2017-04-17,완료
14206,미세먼지 결과값에러 SERVICE ACCESS DENIED ERROR.,이***,2017-04-17,완료
14203,SERVICE KEY IS NOT REGISTERED ERROR.,이***,2017-04-17,완료
14200,SERVICE KEY IS NOT REGISTERED ERROR,정***,2017-04-16,완료
14198,SERVICE KEY IS NOT REGISTERED ERROR.,장***,2017-04-16,완료
14201,SERVICE KEY IS NOT REGISTERED ERROR.,이***,2017-04-16,완료
14202,안녕하세요 공공데이터 포털 접속이 안됩니다.,여***,2017-04-17,완료
14196,안녕하세요~,문***,2017-04-14,완료
14195,지난번 oasis 제공에 대헤 문의드렸었는데요.,김***,2017-04-14,완료
14194,의안정보 API 중 비회기의안의 프로세스 요청드립니다.,김***,2017-04-14,완료
14191,SERVICE KEY IS NOT REGISTERED ERROR. 질문입니다.,윤***,2017-04-14,완료
14190,[공공데이터 이용관련],이***,2017-04-14,완료
14184,의안정보 API 비회기 데이터 관련 문의드립니다.,김***,2017-04-14,완료
14187,목록 정비 관련,장***,2017-04-14,완료
14183,대기오염 서비스 결과를 가져오지 못합니다.,정***,2017-04-13,완료
14179,의안정보 API 카운트 문의드립니다.,김***,2017-04-13,완료
14182,api key 문의,관***,2017-04-13,완료
14181,한국예탁결제원 API 결과데이터 문의,강***,2017-04-13,완료
14170,수산물 수협 물류센터/공판장 재고정보 관련 다른 질문입니다,박***,2017-04-12,완료
14177,전체목록 조회 오류,권***,2017-04-13,완료
